time_step,relay_id,rssi,battery,queue_length,mobility,link_stability,hop_count,score,selected,available
0,R1,-55,80,5,0.3,0.85,2,0.78,False,True
0,R2,-48,65,2,0.2,0.92,2,0.8257,True,True
0,R3,-62,90,8,0.6,0.7,3,0.6783,False,True
1,R1,-72.27886704613672,78,6,0.32999999999999996,0.83,2,0.6895,True,True
1,R2,-75.68201724066995,63,4,0.23,0.9,2,0.6843,False,True
1,R3,-78.99711094571146,88,9,0.63,0.6799999999999999,3,0.589,False,True
2,R1,-72.70678836144707,76,7,0.36,0.8099999999999999,2,0.6692,True,True
2,R2,-75.78065883836092,61,6,0.26,0.88,2,0.6579,False,True
2,R3,-79.07250082881328,86,10,0.66,0.6599999999999999,3,0.5702,False,True
3,R1,-73.11753861055755,74,8,0.39,0.7899999999999999,2,0.649,True,True
3,R2,-75.88831725594207,59,8,0.29000000000000004,0.86,2,0.6315,False,True
3,R3,-79.16032610188569,84,11,0.6900000000000001,0.6399999999999999,3,0.5513,False,True
4,R1,-73.51216345339341,72,9,0.42000000000000004,0.7699999999999999,2,0.6289,True,True
4,R2,-76.0042832573213,57,10,0.32000000000000006,0.84,2,0.605,False,True
4,R3,-79.25982100327103,82,12,0.7200000000000001,0.6199999999999999,3,0.5324,False,True
5,R1,-73.89166084364533,70,10,0.45000000000000007,0.7499999999999999,2,0.6088,True,True
5,R2,-76.12783856719736,47,17,0.3500000000000001,0.72,2,0.505,False,True
5,R3,-79.37016107464814,80,13,0.7500000000000001,0.5999999999999999,3,0.5135,False,True
6,R1,-74.25697213362591,68,11,0.4800000000000001,0.7299999999999999,2,0.5888,True,True
6,R2,-76.2582671328571,37,24,0.3800000000000001,0.6,2,0.4349,False,True
6,R3,-79.49048292315663,78,14,0.7800000000000001,0.5799999999999998,3,0.4945,False,True
7,R1,-74.60897842756548,66,12,0.5100000000000001,0.7099999999999999,2,0.5688,True,True
7,R2,-76.39486489268586,27,31,0.41000000000000014,0.48,2,0.3874,False,True
7,R3,-79.61990287440065,76,15,0.8100000000000002,0.5599999999999998,3,0.4754,False,True
8,R1,-74.94850021680094,64,13,0.5400000000000001,0.6899999999999998,2,0.5489,True,True
8,R2,-76.53694795315081,17,38,0.44000000000000017,0.36,2,0.3398,False,True
8,R3,-79.75753389036288,74,16,0.8400000000000002,0.5399999999999998,3,0.4563,False,True
9,R1,-75.27629900871338,62,14,0.5700000000000002,0.6699999999999998,2,0.529,True,True
9,R2,-76.68385916689999,7,45,0.4700000000000002,0.23999999999999996,2,0.2922,False,True
9,R3,-79.90250032927817,72,17,0.8700000000000002,0.5199999999999998,3,0.4372,False,True
10,R1,-75.59308010907012,60,15,0.6000000000000002,0.6499999999999998,2,0.5092,True,True
10,R2,-76.83497317679812,0,52,0.5000000000000002,0.11999999999999997,2,0.2505,False,False
10,R3,-80.05395031886707,70,18,0.9000000000000002,0.4999999999999998,3,0.4181,False,True
