scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,r1_selections,r2_selections,r3_selections
normal,baseline,1000,285,715,0.285,0.715,15.898245614035087,1.16736,189.17399999999313,1000,589,235,176
normal,contextual_kg,1000,281,719,0.281,0.719,15.078291814946619,1.1509760000000002,188.92599999999294,1000,627,283,90
high_mobility,baseline,1000,202,798,0.202,0.798,18.584158415841586,0.827392,185.74999999999272,919,586,252,81
high_mobility,contextual_kg,1000,203,797,0.203,0.797,16.221674876847292,0.831488,185.51599999999257,919,622,297,0
high_congestion,baseline,1000,211,789,0.211,0.789,13.881516587677725,0.864256,233.65199999999885,874,457,211,206
high_congestion,contextual_kg,1000,209,791,0.209,0.791,12.83732057416268,0.8560639999999999,230.33399999999872,874,504,243,127
low_battery,baseline,1000,182,818,0.182,0.818,8.846153846153847,0.745472,235,566,343,103,120
low_battery,contextual_kg,1000,178,822,0.178,0.822,8.101123595505618,0.729088,235,545,301,49,195
relay_failure,baseline,1000,201,799,0.201,0.799,12.124378109452737,0.823296,228.98999999999867,756,513,148,95
relay_failure,contextual_kg,1000,199,801,0.199,0.801,11.482412060301508,0.815104,226.1339999999985,734,560,147,27
