scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,r1_selections,r2_selections,r3_selections
normal,static,1000,275,725,0.275,0.725,8.083636363636364,1.1264,183.63999999999544,1000,909,91,0
normal,baseline,1000,285,715,0.285,0.715,15.898245614035087,1.16736,189.17399999999313,1000,589,235,176
normal,contextual_kg,1000,281,719,0.281,0.719,15.078291814946619,1.1509760000000002,188.92599999999294,1000,627,283,90
normal,kg_marl,1000,285,715,0.285,0.715,14.529824561403508,1.16736,189.1379999999931,1000,591,249,160
high_mobility,static,1000,197,803,0.197,0.803,8.390862944162437,0.8069120000000001,180.79999999999552,919,899,20,0
high_mobility,baseline,1000,202,798,0.202,0.798,18.584158415841586,0.827392,185.74999999999272,919,586,252,81
high_mobility,contextual_kg,1000,203,797,0.203,0.797,16.221674876847292,0.831488,185.51599999999257,919,622,297,0
high_mobility,kg_marl,1000,201,799,0.201,0.799,16.91044776119403,0.823296,185.7579999999927,919,581,258,80
high_congestion,static,1000,208,792,0.208,0.792,8.173076923076923,0.851968,229.4519999999987,874,678,90,106
high_congestion,baseline,1000,211,789,0.211,0.789,13.881516587677725,0.864256,233.65199999999885,874,457,211,206
high_congestion,contextual_kg,1000,209,791,0.209,0.791,12.83732057416268,0.8560639999999999,230.33399999999872,874,504,243,127
high_congestion,kg_marl,1000,210,790,0.21,0.79,13.790476190476191,0.8601599999999999,230.41799999999873,874,504,241,129
low_battery,static,1000,183,817,0.183,0.817,7.0,0.749568,235,563,425,6,132
low_battery,baseline,1000,182,818,0.182,0.818,8.846153846153847,0.745472,235,566,343,103,120
low_battery,contextual_kg,1000,178,822,0.178,0.822,8.101123595505618,0.729088,235,545,301,49,195
low_battery,kg_marl,1000,176,824,0.176,0.824,9.397727272727273,0.720896,235,540,293,35,212
relay_failure,static,1000,197,803,0.197,0.803,7.690355329949239,0.8069120000000001,225.88199999999847,699,678,0,21
relay_failure,baseline,1000,201,799,0.201,0.799,12.124378109452737,0.823296,228.98999999999867,756,513,148,95
relay_failure,contextual_kg,1000,199,801,0.199,0.801,11.482412060301508,0.815104,226.1339999999985,734,560,147,27
relay_failure,kg_marl,1000,200,800,0.2,0.8,10.85,0.8192,228.35999999999862,712,606,26,80
