time_step,active_nodes,wireless_links,route,hop_count,route_cost
0,5,8,S -> R1 -> D,2,1.0508230218751475
1,5,8,S -> R1 -> D,2,1.0738343016061167
2,5,8,S -> R1 -> D,2,1.097092175347934
3,5,8,S -> R1 -> D,2,1.120593663374433
4,5,8,S -> R1 -> D,2,1.1443358930825123
5,5,8,S -> R1 -> D,2,1.1683161291026454
6,5,8,S -> R1 -> D,2,1.1925318005352736
7,5,8,S -> R1 -> D,2,1.2169805252662844
8,5,8,S -> R1 -> D,2,1.2416601313576683
9,5,8,S -> R1 -> D,2,1.2665686755424348
10,4,4,S -> R1 -> D,2,1.2917044588764321
