relay_id,battery_state,rssi_state,queue_state,mobility_state,stability_state,hop_state,q_value
R1,1,0,2,1,2,0,7.199889082282562
R1,2,0,2,1,1,0,10.790399714062698
R1,2,0,2,1,2,0,10.50595307664385
R1,2,0,2,2,1,0,5.201521116448518
R1,2,1,0,0,2,0,33.18581988751804
R1,2,1,1,0,2,0,22.13500377014617
R1,2,1,1,1,2,0,18.871073686650444
R1,2,1,2,0,2,0,16.423256820911224
R1,2,1,2,1,2,0,11.125242366877758
R2,1,0,2,0,2,0,10.437155907711789
R2,1,0,2,1,1,0,4.9389049548330775
R2,1,0,2,1,2,0,6.129973389830321
R2,1,0,2,2,1,0,-0.16511249999999975
R2,1,1,1,0,2,0,10.788488338254249
R2,1,1,2,0,2,0,9.549094944593335
R2,2,0,2,0,2,0,1.3764734585080793
R2,2,0,2,1,2,0,6.603558269310278
R2,2,1,0,0,2,0,28.789641998743853
R2,2,1,1,0,2,0,18.742744181743305
R2,2,1,2,0,2,0,14.70746661256939
R3,1,0,2,2,1,1,4.163799381544201
R3,2,0,2,2,1,1,12.44683137027072
R3,2,1,0,1,1,1,14.840314064418545
R3,2,1,1,1,1,1,21.589159615052896
R3,2,1,2,1,1,1,16.183655277083794
R3,2,1,2,2,1,1,7.285665690417577
