scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,seed
normal,static,1000,292,708,0.292,0.708,7.6506849315068495,1.196032,183.63999999999544,1000,40
normal,baseline,1000,299,701,0.299,0.701,14.933110367892976,1.224704,189.17399999999313,1000,40
normal,contextual_kg,1000,297,703,0.297,0.703,14.043771043771043,1.216512,188.92599999999294,1000,40
normal,kg_marl,1000,299,701,0.299,0.701,14.117056856187292,1.224704,189.1379999999931,1000,40
high_mobility,static,1000,216,784,0.216,0.784,9.0,0.884736,180.79999999999552,919,40
high_mobility,baseline,1000,222,778,0.222,0.778,16.945945945945947,0.909312,185.74999999999272,919,40
high_mobility,contextual_kg,1000,222,778,0.222,0.778,14.657657657657658,0.909312,185.51599999999257,919,40
high_mobility,kg_marl,1000,223,777,0.223,0.777,15.251121076233185,0.913408,185.7579999999927,919,40
high_congestion,static,1000,232,768,0.232,0.768,8.155172413793103,0.950272,229.4519999999987,874,40
high_congestion,baseline,1000,234,766,0.234,0.766,13.042735042735043,0.9584640000000001,233.65199999999885,874,40
high_congestion,contextual_kg,1000,232,768,0.232,0.768,12.663793103448276,0.950272,230.33399999999872,874,40
high_congestion,kg_marl,1000,233,767,0.233,0.767,12.974248927038627,0.9543680000000001,230.41799999999873,874,40
low_battery,static,1000,194,806,0.194,0.806,6.515463917525773,0.794624,235,563,40
low_battery,baseline,1000,195,805,0.195,0.805,8.805128205128206,0.79872,235,566,40
low_battery,contextual_kg,1000,192,808,0.192,0.808,8.958333333333334,0.786432,235,545,40
low_battery,kg_marl,1000,192,808,0.192,0.808,8.895833333333334,0.786432,235,540,40
relay_failure,static,1000,211,789,0.211,0.789,7.369668246445498,0.864256,225.88199999999847,699,40
relay_failure,baseline,1000,216,784,0.216,0.784,11.444444444444445,0.884736,228.98999999999867,756,40
relay_failure,contextual_kg,1000,212,788,0.212,0.788,10.584905660377359,0.868352,226.1339999999985,734,40
relay_failure,kg_marl,1000,213,787,0.213,0.787,10.183098591549296,0.872448,228.35999999999862,712,40
normal,static,1000,257,743,0.257,0.743,8.680933852140077,1.052672,183.63999999999544,1000,41
normal,baseline,1000,265,735,0.265,0.735,16.637735849056604,1.08544,189.17399999999313,1000,41
normal,contextual_kg,1000,263,737,0.263,0.737,15.752851711026617,1.077248,188.92599999999294,1000,41
normal,kg_marl,1000,263,737,0.263,0.737,15.737642585551331,1.077248,189.1379999999931,1000,41
high_mobility,static,1000,179,821,0.179,0.821,9.893854748603353,0.733184,180.79999999999552,919,41
high_mobility,baseline,1000,187,813,0.187,0.813,19.663101604278076,0.765952,185.74999999999272,919,41
high_mobility,contextual_kg,1000,186,814,0.186,0.814,16.774193548387096,0.761856,185.51599999999257,919,41
high_mobility,kg_marl,1000,188,812,0.188,0.812,17.180851063829788,0.770048,185.7579999999927,919,41
high_congestion,static,1000,195,805,0.195,0.805,9.215384615384615,0.79872,229.4519999999987,874,41
high_congestion,baseline,1000,197,803,0.197,0.803,14.624365482233502,0.8069120000000001,233.65199999999885,874,41
high_congestion,contextual_kg,1000,196,804,0.196,0.804,14.33673469387755,0.8028160000000001,230.33399999999872,874,41
high_congestion,kg_marl,1000,198,802,0.198,0.802,14.323232323232324,0.8110080000000001,230.41799999999873,874,41
