scenario,metric,rank,protocol,mean,std
high_congestion,pdr_percent,1,AODV,10.307100000000002,10.192173156670542
high_congestion,pdr_percent,2,DSR,8.5614,8.230099921089117
high_congestion,pdr_percent,3,OLSR,7.9228,7.25382671116119
high_congestion,loss_ratio_percent,1,AODV,89.6929,10.19217315667054
high_congestion,loss_ratio_percent,2,DSR,91.4386,8.230099921089119
high_congestion,loss_ratio_percent,3,OLSR,92.07719999999999,7.253826711161192
high_congestion,average_delay_ms,1,OLSR,1.7782,2.053561448367743
high_congestion,average_delay_ms,2,AODV,11.8491,19.582978535509408
high_congestion,average_delay_ms,3,DSR,21.016,29.636000029993554
high_congestion,average_jitter_ms,1,OLSR,0.9316000000000001,1.1389051467674267
high_congestion,average_jitter_ms,2,AODV,1.3581999999999999,2.4062497699855587
high_congestion,average_jitter_ms,3,DSR,13.5534,20.832556663922833
high_congestion,throughput_kbps,1,AODV,74.6802,73.84788975966445
high_congestion,throughput_kbps,2,DSR,62.0314,59.631541810614884
high_congestion,throughput_kbps,3,OLSR,57.4048,52.55761928440485
high_congestion,energy_consumed_j,1,DSR,1965.7684000000002,0.20779113444890338
high_congestion,energy_consumed_j,2,AODV,1966.0097,0.2191103476434546
high_congestion,energy_consumed_j,3,OLSR,1966.6174999999998,1.0862853369779546
high_congestion,network_lifetime_s,1,AODV,120.0,0.0
high_congestion,network_lifetime_s,2,DSR,120.0,0.0
high_congestion,network_lifetime_s,3,OLSR,120.0,0.0
high_mobility,pdr_percent,1,AODV,7.8483,3.8099727630989113
high_mobility,pdr_percent,2,DSR,5.0565,2.2948357118635845
high_mobility,pdr_percent,3,OLSR,4.1021,3.040544558316998
high_mobility,loss_ratio_percent,1,AODV,92.1517,3.809972763098912
high_mobility,loss_ratio_percent,2,DSR,94.9435,2.2948357118635854
high_mobility,loss_ratio_percent,3,OLSR,95.8979,3.040544558317001
high_mobility,average_delay_ms,1,OLSR,3.1579,1.886015167253729
high_mobility,average_delay_ms,2,AODV,598.3591,450.77108041504226
high_mobility,average_delay_ms,3,DSR,858.742,517.5632478704629
high_mobility,average_jitter_ms,1,OLSR,3.3930999999999996,2.063984681790702
high_mobility,average_jitter_ms,2,AODV,42.626799999999996,25.85740319435723
high_mobility,average_jitter_ms,3,DSR,319.0575,186.71295567037296
high_mobility,throughput_kbps,1,AODV,14.2126,6.899580360830329
high_mobility,throughput_kbps,2,DSR,9.1564,4.155824859960615
high_mobility,throughput_kbps,3,OLSR,7.428399999999999,5.505786616521445
high_mobility,energy_consumed_j,1,DSR,1965.6615000000002,0.046980492405542904
high_mobility,energy_consumed_j,2,AODV,1966.0268,0.2597378165252846
high_mobility,energy_consumed_j,3,OLSR,1966.7552,0.9107277675939021
high_mobility,network_lifetime_s,1,AODV,120.0,0.0
high_mobility,network_lifetime_s,2,DSR,120.0,0.0
high_mobility,network_lifetime_s,3,OLSR,120.0,0.0
low_battery,pdr_percent,1,AODV,10.4762,10.711811474567066
low_battery,pdr_percent,2,OLSR,7.990599999999999,7.366790937111701
low_battery,pdr_percent,3,DSR,6.759600000000001,7.999039639578964
low_battery,loss_ratio_percent,1,AODV,89.5238,10.711811474567067
low_battery,loss_ratio_percent,2,OLSR,92.0094,7.366790937111704
low_battery,loss_ratio_percent,3,DSR,93.2404,7.999039639578965
low_battery,average_delay_ms,1,OLSR,3.7794,4.84021427900322
low_battery,average_delay_ms,2,AODV,85.4865,135.4488595762253
low_battery,average_delay_ms,3,DSR,124.30990000000001,148.04183781129052
low_battery,average_jitter_ms,1,OLSR,3.7581,5.179460191735986
low_battery,average_jitter_ms,2,AODV,19.230800000000002,42.78985088078715
low_battery,average_jitter_ms,3,DSR,47.9356,58.659635175590154
low_battery,throughput_kbps,1,AODV,18.9714,19.39805506974575
low_battery,throughput_kbps,2,OLSR,14.470099999999999,13.340430065114926
low_battery,throughput_kbps,3,DSR,12.241,14.485524575320778
low_battery,energy_consumed_j,1,AODV,744.2421,2.982951537953272
low_battery,energy_consumed_j,2,OLSR,744.8235999999999,2.842867769622007
low_battery,energy_consumed_j,3,DSR,757.0,0.48649905789560255
low_battery,network_lifetime_s,1,DSR,13.847999999999999,0.320444136230395
low_battery,network_lifetime_s,2,OLSR,13.625800000000002,0.24618908722091382
low_battery,network_lifetime_s,3,AODV,13.597,0.3246943862225592
normal,pdr_percent,1,AODV,10.4762,10.711811474567066
normal,pdr_percent,2,DSR,9.1859,8.544962199383265
normal,pdr_percent,3,OLSR,7.990599999999999,7.366790937111701
normal,loss_ratio_percent,1,AODV,89.5238,10.711811474567067
normal,loss_ratio_percent,2,DSR,90.8141,8.544962199383264
normal,loss_ratio_percent,3,OLSR,92.0094,7.366790937111704
normal,average_delay_ms,1,OLSR,3.7794,4.84021427900322
normal,average_delay_ms,2,AODV,85.4865,135.4488595762253
normal,average_delay_ms,3,DSR,234.2358,290.55233312618
normal,average_jitter_ms,1,OLSR,3.7581,5.179460191735986
normal,average_jitter_ms,2,AODV,19.230800000000002,42.78985088078715
normal,average_jitter_ms,3,DSR,88.4551,112.36247086643793
normal,throughput_kbps,1,AODV,18.9714,19.39805506974575
normal,throughput_kbps,2,DSR,16.634999999999998,15.474378012989371
normal,throughput_kbps,3,OLSR,14.470099999999999,13.340430065114926
