protocol,scenario,seed,run,nodes,max_speed_mps,offered_rate,offered_packets,source_tx_packets,rx_packets,pdr_percent,loss_ratio_percent,average_delay_ms,average_jitter_ms,throughput_kbps,energy_consumed_j,network_lifetime_s
AODV,normal,42,1,20,5.000,64kbps,5061,5061,484,9.563,90.437,0.474,0.267,17.318,1965.829,120.000
AODV,normal,42,2,20,5.000,64kbps,5061,5061,1016,20.075,79.925,8.506,4.366,36.354,1965.973,120.000
AODV,normal,42,3,20,5.000,64kbps,5061,5061,32,0.632,99.368,375.488,139.996,1.145,1965.824,120.000
AODV,normal,42,4,20,5.000,64kbps,5061,5061,495,9.781,90.219,7.231,2.502,17.712,1965.834,120.000
AODV,normal,42,5,20,5.000,64kbps,5061,5061,457,9.030,90.970,6.173,5.243,16.352,1965.933,120.000
AODV,normal,42,6,20,5.000,64kbps,5061,5061,1607,31.753,68.247,216.870,15.952,57.501,1966.075,120.000
AODV,normal,42,7,20,5.000,64kbps,5061,5061,1065,21.043,78.957,223.108,14.388,38.108,1965.824,120.000
AODV,normal,42,8,20,5.000,64kbps,5061,5061,12,0.237,99.763,1.866,1.821,0.429,1965.836,120.000
AODV,normal,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.792,120.000
AODV,normal,42,10,20,5.000,64kbps,5061,5061,134,2.648,97.352,15.149,7.773,4.795,1965.862,120.000
OLSR,normal,42,1,20,5.000,64kbps,5061,748,369,7.291,92.709,2.271,2.668,13.203,1966.929,120.000
OLSR,normal,42,2,20,5.000,64kbps,5061,881,742,14.661,85.339,0.694,0.750,26.550,1966.731,120.000
OLSR,normal,42,3,20,5.000,64kbps,5061,130,13,0.257,99.743,12.603,15.702,0.465,1966.415,120.000
OLSR,normal,42,4,20,5.000,64kbps,5061,514,457,9.030,90.970,0.506,0.313,16.352,1966.009,120.000
OLSR,normal,42,5,20,5.000,64kbps,5061,438,357,7.054,92.946,0.853,0.445,12.774,1965.868,120.000
OLSR,normal,42,6,20,5.000,64kbps,5061,1687,993,19.621,80.379,12.290,9.584,35.531,1969.766,120.000
OLSR,normal,42,7,20,5.000,64kbps,5061,1064,922,18.218,81.782,0.642,0.478,32.991,1965.838,120.000
OLSR,normal,42,8,20,5.000,64kbps,5061,130,29,0.573,99.427,5.594,5.674,1.038,1966.187,120.000
OLSR,normal,42,9,20,5.000,64kbps,5061,0,0,0.000,100.000,0.000,0.000,0.000,1965.711,120.000
OLSR,normal,42,10,20,5.000,64kbps,5061,254,162,3.201,96.799,2.341,1.967,5.797,1966.234,120.000
DSR,normal,42,1,20,5.000,64kbps,5061,5061,474,9.366,90.634,315.617,126.539,16.961,1965.658,120.000
DSR,normal,42,2,20,5.000,64kbps,5061,5061,1065,21.043,78.957,134.548,55.982,38.108,1965.829,120.000
DSR,normal,42,3,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.605,120.000
DSR,normal,42,4,20,5.000,64kbps,5061,5061,542,10.709,89.291,283.071,111.539,19.394,1965.629,120.000
DSR,normal,42,5,20,5.000,64kbps,5061,5061,472,9.326,90.674,307.076,96.042,16.889,1965.664,120.000
DSR,normal,42,6,20,5.000,64kbps,5061,5061,1136,22.446,77.554,134.302,47.225,40.648,1965.840,120.000
DSR,normal,42,7,20,5.000,64kbps,5061,5061,810,16.005,83.995,186.092,67.367,28.983,1965.632,120.000
DSR,normal,42,8,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.606,120.000
DSR,normal,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.604,120.000
DSR,normal,42,10,20,5.000,64kbps,5061,5061,150,2.964,97.036,981.652,379.857,5.367,1965.643,120.000
AODV,high_mobility,42,1,20,20.000,64kbps,5061,5061,440,8.694,91.306,429.821,35.309,15.744,1966.010,120.000
AODV,high_mobility,42,2,20,20.000,64kbps,5061,5061,711,14.049,85.951,366.080,41.204,25.441,1966.649,120.000
AODV,high_mobility,42,3,20,20.000,64kbps,5061,5061,338,6.679,93.321,0.490,0.339,12.094,1965.883,120.000
AODV,high_mobility,42,4,20,20.000,64kbps,5061,5061,195,3.853,96.147,1133.441,56.909,6.977,1965.804,120.000
AODV,high_mobility,42,5,20,20.000,64kbps,5061,5061,175,3.458,96.542,864.975,55.391,6.262,1966.063,120.000
AODV,high_mobility,42,6,20,20.000,64kbps,5061,5061,729,14.404,85.596,377.040,30.851,26.085,1966.211,120.000
AODV,high_mobility,42,7,20,20.000,64kbps,5061,5061,409,8.081,91.919,736.348,54.382,14.635,1965.837,120.000
AODV,high_mobility,42,8,20,20.000,64kbps,5061,5061,407,8.042,91.958,18.002,11.804,14.563,1966.125,120.000
AODV,high_mobility,42,9,20,20.000,64kbps,5061,5061,332,6.560,93.440,1386.698,93.244,11.880,1965.865,120.000
AODV,high_mobility,42,10,20,20.000,64kbps,5061,5061,236,4.663,95.337,670.696,46.835,8.445,1965.821,120.000
OLSR,high_mobility,42,1,20,20.000,64kbps,5061,604,161,3.181,96.819,2.270,2.411,5.761,1966.441,120.000
OLSR,high_mobility,42,2,20,20.000,64kbps,5061,837,457,9.030,90.970,2.430,3.121,16.352,1966.748,120.000
OLSR,high_mobility,42,3,20,20.000,64kbps,5061,602,238,4.703,95.297,1.579,1.555,8.516,1966.199,120.000
OLSR,high_mobility,42,4,20,20.000,64kbps,5061,184,95,1.877,98.123,3.287,3.038,3.399,1966.008,120.000
OLSR,high_mobility,42,5,20,20.000,64kbps,5061,255,70,1.383,98.617,3.512,3.350,2.505,1966.380,120.000
OLSR,high_mobility,42,6,20,20.000,64kbps,5061,950,462,9.129,90.871,2.973,4.806,16.531,1968.923,120.000
OLSR,high_mobility,42,7,20,20.000,64kbps,5061,374,213,4.209,95.791,2.132,1.980,7.622,1966.402,120.000
OLSR,high_mobility,42,8,20,20.000,64kbps,5061,530,271,5.355,94.645,0.994,0.828,9.697,1967.559,120.000
OLSR,high_mobility,42,9,20,20.000,64kbps,5061,415,38,0.751,99.249,7.574,7.984,1.360,1967.036,120.000
OLSR,high_mobility,42,10,20,20.000,64kbps,5061,280,71,1.403,98.597,4.828,4.858,2.541,1965.856,120.000
DSR,high_mobility,42,1,20,20.000,64kbps,5061,5061,376,7.429,92.571,1121.164,412.871,13.454,1965.658,120.000
DSR,high_mobility,42,2,20,20.000,64kbps,5061,5061,143,2.826,97.174,1013.338,373.356,5.117,1965.640,120.000
DSR,high_mobility,42,3,20,20.000,64kbps,5061,5061,278,5.493,94.507,536.434,195.741,9.947,1965.622,120.000
DSR,high_mobility,42,4,20,20.000,64kbps,5061,5061,150,2.964,97.036,973.703,363.699,5.367,1965.612,120.000
