subject,predicate,object
Relay:R1,HAS_STATE,State:R1:T0
State:R1:T0,HAS_RSSI,-55.0
State:R1:T0,HAS_BATTERY,80.0
State:R1:T0,HAS_QUEUE_LENGTH,5
State:R1:T0,HAS_MOBILITY,0.3
State:R1:T0,HAS_LINK_STABILITY,0.85
State:R1:T0,HAS_HOP_COUNT,2
State:R1:T0,HAS_SCORE,0.78
State:R1:T0,SELECTED,False
State:R1:T0,AVAILABLE,True
State:R1:T0,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R1:T0,HAS_CONTEXT,LOW_QUEUE
State:R1:T0,HAS_CONTEXT,STABLE_LINK
State:R1:T0,HAS_CONTEXT,LOW_MOBILITY
State:R1:T0,HAS_CONTEXT,STRONG_RSSI
State:R1:T0,HAS_RECOMMENDATION,PREFER
State:R1:T0,HAS_CONTEXTUAL_SCORE,0.785
State:R1:T0,HAS_REASON,sufficient battery
State:R1:T0,HAS_REASON,low queue
State:R1:T0,HAS_REASON,stable link
State:R1:T0,HAS_REASON,low mobility
State:R1:T0,HAS_REASON,strong RSSI
Relay:R2,HAS_STATE,State:R2:T0
State:R2:T0,HAS_RSSI,-48.0
State:R2:T0,HAS_BATTERY,65.0
State:R2:T0,HAS_QUEUE_LENGTH,2
State:R2:T0,HAS_MOBILITY,0.2
State:R2:T0,HAS_LINK_STABILITY,0.92
State:R2:T0,HAS_HOP_COUNT,2
State:R2:T0,HAS_SCORE,0.8257
State:R2:T0,SELECTED,True
State:R2:T0,AVAILABLE,True
State:R2:T0,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R2:T0,HAS_CONTEXT,LOW_QUEUE
State:R2:T0,HAS_CONTEXT,STABLE_LINK
State:R2:T0,HAS_CONTEXT,LOW_MOBILITY
State:R2:T0,HAS_CONTEXT,STRONG_RSSI
State:R2:T0,HAS_RECOMMENDATION,PREFER
State:R2:T0,HAS_CONTEXTUAL_SCORE,0.83
State:R2:T0,HAS_REASON,sufficient battery
State:R2:T0,HAS_REASON,low queue
State:R2:T0,HAS_REASON,stable link
State:R2:T0,HAS_REASON,low mobility
State:R2:T0,HAS_REASON,strong RSSI
Relay:R3,HAS_STATE,State:R3:T0
State:R3:T0,HAS_RSSI,-62.0
State:R3:T0,HAS_BATTERY,90.0
State:R3:T0,HAS_QUEUE_LENGTH,8
State:R3:T0,HAS_MOBILITY,0.6
State:R3:T0,HAS_LINK_STABILITY,0.7
State:R3:T0,HAS_HOP_COUNT,3
State:R3:T0,HAS_SCORE,0.6783
State:R3:T0,SELECTED,False
State:R3:T0,AVAILABLE,True
State:R3:T0,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R3:T0,HAS_CONTEXT,STABLE_LINK
State:R3:T0,HAS_CONTEXT,STRONG_RSSI
State:R3:T0,HAS_RECOMMENDATION,PREFER
State:R3:T0,HAS_CONTEXTUAL_SCORE,0.68
State:R3:T0,HAS_REASON,sufficient battery
State:R3:T0,HAS_REASON,stable link
State:R3:T0,HAS_REASON,strong RSSI
Relay:R1,HAS_STATE,State:R1:T1
State:R1:T1,HAS_RSSI,-72.27886704613672
State:R1:T1,HAS_BATTERY,78.0
State:R1:T1,HAS_QUEUE_LENGTH,6
State:R1:T1,HAS_MOBILITY,0.32999999999999996
State:R1:T1,HAS_LINK_STABILITY,0.83
State:R1:T1,HAS_HOP_COUNT,2
State:R1:T1,HAS_SCORE,0.6895
State:R1:T1,SELECTED,True
State:R1:T1,AVAILABLE,True
State:R1:T1,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R1:T1,HAS_CONTEXT,STABLE_LINK
State:R1:T1,HAS_RECOMMENDATION,PREFER
State:R1:T1,HAS_CONTEXTUAL_SCORE,0.7198
State:R1:T1,HAS_REASON,sufficient battery
State:R1:T1,HAS_REASON,stable link
Relay:R2,HAS_STATE,State:R2:T1
State:R2:T1,HAS_RSSI,-75.68201724066995
State:R2:T1,HAS_BATTERY,63.0
State:R2:T1,HAS_QUEUE_LENGTH,4
State:R2:T1,HAS_MOBILITY,0.23
State:R2:T1,HAS_LINK_STABILITY,0.9
State:R2:T1,HAS_HOP_COUNT,2
State:R2:T1,HAS_SCORE,0.6843
State:R2:T1,SELECTED,False
State:R2:T1,AVAILABLE,True
State:R2:T1,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R2:T1,HAS_CONTEXT,LOW_QUEUE
State:R2:T1,HAS_CONTEXT,STABLE_LINK
State:R2:T1,HAS_CONTEXT,LOW_MOBILITY
State:R2:T1,HAS_RECOMMENDATION,PREFER
State:R2:T1,HAS_CONTEXTUAL_SCORE,0.7288
State:R2:T1,HAS_REASON,sufficient battery
State:R2:T1,HAS_REASON,low queue
State:R2:T1,HAS_REASON,stable link
State:R2:T1,HAS_REASON,low mobility
Relay:R3,HAS_STATE,State:R3:T1
State:R3:T1,HAS_RSSI,-78.99711094571146
State:R3:T1,HAS_BATTERY,88.0
State:R3:T1,HAS_QUEUE_LENGTH,9
State:R3:T1,HAS_MOBILITY,0.63
State:R3:T1,HAS_LINK_STABILITY,0.6799999999999999
State:R3:T1,HAS_HOP_COUNT,3
State:R3:T1,HAS_SCORE,0.589
State:R3:T1,SELECTED,False
State:R3:T1,AVAILABLE,True
State:R3:T1,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R3:T1,HAS_RECOMMENDATION,PREFER
State:R3:T1,HAS_CONTEXTUAL_SCORE,0.6155
State:R3:T1,HAS_REASON,sufficient battery
Relay:R1,HAS_STATE,State:R1:T2
State:R1:T2,HAS_RSSI,-72.70678836144707
State:R1:T2,HAS_BATTERY,76.0
State:R1:T2,HAS_QUEUE_LENGTH,7
State:R1:T2,HAS_MOBILITY,0.36
State:R1:T2,HAS_LINK_STABILITY,0.8099999999999999
State:R1:T2,HAS_HOP_COUNT,2
State:R1:T2,HAS_SCORE,0.6692
State:R1:T2,SELECTED,True
State:R1:T2,AVAILABLE,True
