subject,predicate,object
Scenario:normal,HAS_PACKET_COUNT,1000
Scenario:normal,HAS_DELIVERED_PACKETS,310
Scenario:normal,HAS_LOST_PACKETS,690
Scenario:normal,HAS_PDR,0.31
Scenario:normal,HAS_PACKET_LOSS,0.69
Scenario:normal,HAS_AVERAGE_DELAY,7.419354838709677
Scenario:high_mobility,HAS_PACKET_COUNT,1000
Scenario:high_mobility,HAS_DELIVERED_PACKETS,224
Scenario:high_mobility,HAS_LOST_PACKETS,776
Scenario:high_mobility,HAS_PDR,0.224
Scenario:high_mobility,HAS_PACKET_LOSS,0.776
Scenario:high_mobility,HAS_AVERAGE_DELAY,8.875
Scenario:high_congestion,HAS_PACKET_COUNT,1000
Scenario:high_congestion,HAS_DELIVERED_PACKETS,236
Scenario:high_congestion,HAS_LOST_PACKETS,764
Scenario:high_congestion,HAS_PDR,0.236
Scenario:high_congestion,HAS_PACKET_LOSS,0.764
Scenario:high_congestion,HAS_AVERAGE_DELAY,9.186440677966102
Scenario:low_battery,HAS_PACKET_COUNT,1000
Scenario:low_battery,HAS_DELIVERED_PACKETS,195
Scenario:low_battery,HAS_LOST_PACKETS,805
Scenario:low_battery,HAS_PDR,0.195
Scenario:low_battery,HAS_PACKET_LOSS,0.805
Scenario:low_battery,HAS_AVERAGE_DELAY,7.041025641025641
Scenario:relay_failure,HAS_PACKET_COUNT,1000
Scenario:relay_failure,HAS_DELIVERED_PACKETS,221
Scenario:relay_failure,HAS_LOST_PACKETS,779
Scenario:relay_failure,HAS_PDR,0.221
Scenario:relay_failure,HAS_PACKET_LOSS,0.779
Scenario:relay_failure,HAS_AVERAGE_DELAY,8.981900452488688
