episode,epsilon,average_reward,delivery_success_rate,mean_abs_td_error,q_table_entries,updates
1,0.194,1.1107535320000013,0.4048,2.328086105813128,28,1250
2,0.18818000000000001,1.3783464440000017,0.4552,2.417867382553748,28,1250
3,0.18253460000000002,1.3057964320000017,0.44,2.3925676931123845,28,1250
4,0.177058562,1.250242860000002,0.4288,2.339801567211823,29,1250
5,0.17174680514,1.3628789800000018,0.4512,2.418827129661878,29,1250
6,0.16659440098579997,1.3787967000000019,0.4544,2.4142246416157214,29,1250
7,0.16159656895622598,1.2956545560000021,0.4376,2.3903176371092734,29,1250
8,0.1567486718875392,1.327465476000002,0.444,2.392145702499686,29,1250
9,0.152046211730913,1.2711567280000025,0.4328,2.398494401320333,29,1250
10,0.1474848253789856,1.2876356720000026,0.436,2.3674282880792825,29,1250
11,0.14306028061761603,1.387909048000002,0.456,2.3813341347041037,29,1250
12,0.13876847219908753,1.1437455040000022,0.4072,2.33156217183967,29,1250
13,0.1346054180331149,1.175634876000002,0.4136,2.3621297031403654,29,1250
14,0.13056725549212145,1.3073921600000027,0.44,2.400097984544379,29,1250
15,0.1266502378273578,1.3038043240000023,0.4392,2.379851520597277,30,1250
16,0.12285073069253706,1.3519012800000023,0.4488,2.3945545773254624,30,1250
17,0.11916520877176094,1.3403478800000015,0.4464,2.401823914789985,30,1250
18,0.1155902525086081,1.2313227360000023,0.4248,2.3772642215266524,30,1250
19,0.11212254493334986,1.2093868320000023,0.42,2.2949198316573036,30,1250
20,0.10875886858534936,1.1770926520000025,0.4136,2.2899817980676054,30,1250
21,0.10549610252778888,1.3241111280000022,0.4432,2.363004542515777,30,1250
22,0.10233121945195521,1.3525341080000022,0.4496,2.3867385034555664,30,1250
23,0.09926128286839656,1.184087916000002,0.4152,2.3498903229340207,30,1250
24,0.09628344438234465,1.1919263960000024,0.4168,2.3478396990330013,30,1250
25,0.09339494105087431,1.2641480760000023,0.4312,2.3367104229444426,30,1250
26,0.09059309281934808,1.372819792000002,0.4528,2.36699339541621,30,1250
27,0.08787530003476764,1.3003725240000017,0.4384,2.3673007962449644,30,1250
28,0.08523904103372461,1.3325444000000026,0.4448,2.392326235375281,30,1250
29,0.08268186980271287,1.284856836000002,0.436,2.3682022489628025,30,1250
30,0.08020141370863149,1.3244421160000022,0.4432,2.3999874810790653,30,1250
31,0.07779537129737255,1.296284932000002,0.4384,2.3963727256947824,30,1250
32,0.07546151015845137,1.3363854480000024,0.4456,2.3989255180669398,30,1250
33,0.07319766485369783,1.227937752000002,0.424,2.3761367789065795,30,1250
34,0.0710017349080869,1.4249436040000023,0.4632,2.382805236742844,30,1250
35,0.06887168286084429,1.3765974840000024,0.4536,2.383228140205133,30,1250
36,0.06680553237501896,1.308926428000002,0.4408,2.3904854460472786,30,1250
37,0.06480136640376839,1.3526845400000025,0.4488,2.346525038554141,30,1250
38,0.06285732541165534,1.3648830080000027,0.4512,2.3940617600770624,30,1250
39,0.06097160564930568,1.2486577400000023,0.4288,2.409244098968116,30,1250
40,0.05914245747982651,1.3133644840000023,0.4416,2.356592092776394,30,1250
41,0.05736818375543171,1.237784388000002,0.4264,2.367980020524522,30,1250
42,0.05564713824276876,1.2929342440000025,0.4376,2.380013269342483,30,1250
43,0.0539777240954857,1.3130601520000025,0.4408,2.355063746005924,30,1250
44,0.052358392372621125,1.3569381120000024,0.4496,2.3722973968601675,30,1250
45,0.05078764060144249,1.1801975520000019,0.4152,2.3148444251079807,30,1250
46,0.04926401138339921,1.2245366880000021,0.4232,2.3171038649461795,30,1250
47,0.04778609104189723,1.306815988000002,0.44,2.344195769642687,30,1250
48,0.04635250831064031,1.3413785240000025,0.448,2.394228674123837,30,1250
49,0.044961933061321104,1.3612072200000023,0.4504,2.3619146572156176,30,1250
50,0.04361307506948147,1.293263808000002,0.4376,2.370903864145521,30,1250
51,0.04230468281739703,1.261010240000002,0.4328,2.402644439900515,30,1250
52,0.04103554233287512,1.2137528840000027,0.4216,2.3360633776579065,30,1250
53,0.039804476062888866,1.340057528000002,0.4464,2.401049210365932,30,1250
54,0.0386103417810022,1.2048180280000023,0.42,2.3581541659341254,30,1250
55,0.037452031527572135,1.353106096000002,0.4512,2.394475496376172,30,1250
56,0.03632847058174497,1.229104544000002,0.4248,2.3461970616177275,30,1250
57,0.035238616464292626,1.3493814960000026,0.4488,2.358699202826741,30,1250
58,0.03418145797036384,1.3813822360000017,0.456,2.3767446009562807,30,1250
59,0.033156014231252924,1.293029732000002,0.4384,2.3976990300390835,30,1250
60,0.03216133380431534,1.3249579680000017,0.4448,2.3871995772178525,30,1250
